,Company,TypeName,Ram,OpSys,Weight,Price_euros,IPS,Touchscreen,Retina Display,Full HD,Cpu_name,Gpu_name
0,Apple,Ultrabook,8,MAC,1.37,1339.69,1,0,1,0,Intel Core i5,Intel
1,Apple,Ultrabook,8,MAC,1.34,898.94,0,0,0,0,Intel Core i5,Intel
2,HP,Notebook,8,other,1.86,575.0,0,0,0,1,Intel Core i5,Intel
3,Apple,Ultrabook,16,MAC,1.83,2537.45,1,0,1,0,Intel Core i7,AMD
4,Apple,Ultrabook,8,MAC,1.37,1803.6,1,0,1,0,Intel Core i5,Intel
5,Acer,Notebook,4,Windows,2.1,400.0,0,0,0,0,AMD,AMD
6,Apple,Ultrabook,16,MAC,2.04,2139.97,1,0,1,0,Intel Core i7,Intel
7,Apple,Ultrabook,8,MAC,1.34,1158.7,0,0,0,0,Intel Core i5,Intel
8,Asus,Ultrabook,16,Windows,1.3,1495.0,0,0,0,1,Intel Core i7,Nvidia
9,Acer,Ultrabook,8,Windows,1.6,770.0,1,0,0,1,Intel Core i5,Intel
10,HP,Notebook,4,other,1.86,393.9,0,0,0,0,Intel Core i5,Intel
11,HP,Notebook,4,other,1.86,344.99,0,0,0,1,Intel Core i3,Intel
12,Apple,Ultrabook,16,MAC,1.83,2439.97,1,0,1,0,Intel Core i7,AMD
13,Dell,Notebook,4,Windows,2.2,498.9,0,0,0,1,Intel Core i3,AMD
14,Apple,Ultrabook,8,MAC,0.92,1262.4,1,0,1,0,Others,Intel
15,Apple,Ultrabook,8,MAC,1.37,1518.55,1,0,1,0,Intel Core i5,Intel
16,Dell,Notebook,8,Windows,2.2,745.0,0,0,0,1,Intel Core i7,AMD
17,Apple,Ultrabook,16,MAC,1.83,2858.0,1,0,1,0,Intel Core i7,AMD
18,Lenovo,Notebook,8,other,2.2,499.0,0,0,0,1,Intel Core i3,Nvidia
19,Dell,Ultrabook,8,Windows,1.22,979.0,1,1,0,1,Intel Core i5,Intel
20,Asus,Netbook,2,Windows,0.98,191.9,0,0,0,0,Others,Intel
21,Lenovo,Gaming,8,Windows,2.5,999.0,1,0,0,1,Intel Core i5,Nvidia
22,HP,Notebook,4,other,1.86,258.0,0,0,0,0,AMD,AMD
23,Dell,2 in 1 Convertible,8,Windows,1.62,819.0,0,1,0,1,Intel Core i5,Intel
24,HP,Ultrabook,8,Windows,1.91,659.0,0,0,0,1,Intel Core i7,Intel
25,Dell,Notebook,4,Windows,2.3,418.64,0,0,0,0,Intel Core i3,Intel
26,Apple,Ultrabook,8,MAC,1.35,1099.0,0,0,0,0,Intel Core i5,Intel
27,Dell,Notebook,8,Windows,2.2,800.0,0,0,0,1,Intel Core i5,AMD
28,Dell,Ultrabook,8,Windows,1.88,1298.0,0,0,0,1,Intel Core i7,Intel
29,HP,Notebook,8,Windows,2.5,896.0,0,0,0,1,Intel Core i5,Nvidia
30,Other,Notebook,4,Windows,1.89,244.99,0,0,0,1,Others,Intel
31,Asus,Notebook,2,Windows,1.65,199.0,0,0,0,0,AMD,AMD
32,HP,Notebook,4,Windows,2.71,439.0,0,0,0,1,AMD,AMD
33,Dell,Ultrabook,16,Windows,1.2,1869.0,0,1,0,0,Intel Core i7,Intel
34,Apple,Ultrabook,8,MAC,1.35,998.0,0,0,0,0,Intel Core i5,Intel
35,Lenovo,Notebook,4,Windows,1.44,249.0,0,0,0,0,Others,Intel
36,Acer,Notebook,4,Linux,2.1,367.0,0,0,0,0,Intel Core i3,Intel
37,Dell,Notebook,8,Windows,2.8,979.0,1,0,0,1,Intel Core i5,AMD
38,HP,Notebook,4,Windows,1.86,488.69,0,0,0,0,Intel Core i5,Intel
39,HP,Notebook,8,Windows,2.1,879.0,0,0,0,1,Intel Core i5,Nvidia
40,Asus,Notebook,4,Linux,2.0,389.0,0,0,0,1,Intel Core i3,Intel
41,Dell,Gaming,16,Windows,2.65,1499.0,1,0,0,1,Intel Core i7,Nvidia
42,Asus,Notebook,8,Linux,2.3,522.99,0,0,0,0,Intel Core i5,Nvidia
43,Acer,Notebook,4,Windows,2.2,682.0,1,0,0,1,Intel Core i5,Intel
44,Dell,2 in 1 Convertible,12,Windows,2.77,999.0,0,1,0,1,Intel Core i5,Nvidia
45,Apple,Ultrabook,8,MAC,1.37,1419.0,1,0,1,0,Intel Core i5,Intel
46,Lenovo,Notebook,4,other,2.2,369.0,0,0,0,0,Intel Core i3,Intel
47,Asus,Gaming,8,Windows,3.2,1299.0,0,0,0,1,AMD,AMD
48,Dell,Notebook,4,Windows,2.3,639.0,0,0,0,1,Intel Core i5,AMD
49,Asus,Notebook,4,Windows,2.8,466.0,0,0,0,0,Others,Nvidia
50,Lenovo,2 in 1 Convertible,4,other,0.69,319.0,1,1,0,0,Others,Intel
51,Acer,Notebook,8,Windows,2.2,841.0,1,0,0,1,Intel Core i7,Nvidia
52,HP,Notebook,4,Windows,1.86,398.49,0,0,0,1,AMD,AMD
53,HP,Notebook,8,Windows,1.49,1103.0,0,0,0,1,Intel Core i7,Intel
54,Acer,Notebook,4,Windows,2.4,384.0,0,0,0,0,Intel Core i3,Intel
55,Dell,Notebook,8,Windows,2.13,767.8,0,0,0,1,Intel Core i7,AMD
56,HP,Notebook,4,Windows,1.91,439.0,0,0,0,1,Intel Core i3,Intel
57,Asus,Notebook,4,Windows,2.0,586.19,0,0,0,0,Intel Core i5,Intel
58,MSI,Gaming,16,Windows,2.43,2449.0,0,0,0,1,Intel Core i7,Nvidia
59,Asus,Notebook,4,Linux,2.0,415.0,0,0,0,1,Intel Core i3,Intel
60,Dell,Notebook,16,Windows,2.8,1299.0,0,0,0,1,Intel Core i7,AMD
61,Dell,Ultrabook,8,Windows,1.7,879.0,0,0,0,1,Intel Core i5,Intel
62,Lenovo,Notebook,8,other,1.7,599.0,1,0,0,1,Intel Core i3,Intel
63,Asus,Notebook,8,Windows,1.4,941.0,0,0,0,1,Intel Core i5,Intel
64,HP,Notebook,8,Windows,1.86,690.0,0,0,0,1,Intel Core i5,Intel
65,Asus,Ultrabook,16,Windows,1.8,1983.0,0,0,0,1,Intel Core i7,Nvidia
66,HP,Notebook,4,Windows,1.86,438.69,0,0,0,0,Intel Core i3,AMD
67,HP,Notebook,4,Windows,1.44,229.0,0,0,0,0,Others,Intel
68,Lenovo,Notebook,4,Windows,1.9,549.0,0,0,0,1,Intel Core i5,Intel
69,Asus,Gaming,12,Linux,3.0,949.0,0,0,0,1,Intel Core i7,Nvidia
70,Other,Ultrabook,4,Windows,1.252,1089.0,0,1,0,0,Intel Core i5,Intel
71,Dell,Ultrabook,8,Windows,1.4,955.0,1,0,0,1,Intel Core i7,AMD
72,Dell,Notebook,8,Windows,2.2,870.0,0,0,0,1,Intel Core i7,AMD
73,MSI,Gaming,8,Windows,2.7,1095.0,0,0,0,1,Intel Core i5,Nvidia
74,Acer,Notebook,8,Windows,2.1,389.0,0,0,0,0,Intel Core i3,Intel
75,Asus,Gaming,8,Windows,2.2,949.0,0,0,0,1,Intel Core i7,Nvidia
76,Lenovo,Notebook,8,other,2.2,519.0,0,0,0,1,Intel Core i5,Intel
77,Dell,Notebook,8,Windows,2.02,855.0,0,0,0,1,Intel Core i7,Intel
78,Acer,Notebook,4,Windows,2.2,530.0,0,0,0,1,Intel Core i3,Nvidia
79,HP,Notebook,8,Windows,2.5,977.0,0,0,0,1,Intel Core i5,Nvidia
80,Dell,Ultrabook,8,Windows,1.88,1096.16,1,0,0,1,Intel Core i5,Intel
81,Apple,Ultrabook,8,MAC,0.92,1510.0,1,0,1,0,Intel Core i5,Intel
82,HP,Notebook,8,Windows,1.63,860.0,0,0,0,1,Intel Core i5,Intel
83,Lenovo,Notebook,4,Windows,2.2,399.0,0,0,0,1,AMD,AMD
84,Acer,Notebook,4,Windows,2.1,395.0,0,0,0,0,AMD,AMD
85,Dell,Gaming,16,Windows,2.65,1349.0,1,0,0,1,Intel Core i7,Nvidia
86,HP,Ultrabook,8,Windows,1.83,699.0,1,0,0,1,Intel Core i7,Nvidia
87,HP,Notebook,8,Windows,1.96,598.99,0,0,0,1,Intel Core i5,Intel
88,Asus,Gaming,16,Windows,2.2,1449.0,1,0,0,1,Intel Core i7,Nvidia
89,Dell,Ultrabook,8,Windows,1.21,1649.0,1,0,0,1,Intel Core i7,Intel
90,Asus,Gaming,8,Windows,2.45,699.0,0,0,0,1,AMD,AMD
91,Acer,Notebook,8,Windows,2.2,689.0,0,0,0,1,Intel Core i7,Nvidia
92,HP,Notebook,16,Windows,1.49,1197.0,0,0,0,1,Intel Core i7,Intel
93,Dell,Gaming,8,Windows,2.65,1195.0,0,0,0,1,Intel Core i5,Nvidia
94,Asus,Ultrabook,8,Windows,1.25,1049.0,0,0,0,1,Intel Core i7,Intel
95,Acer,2 in 1 Convertible,8,Windows,1.5,847.0,1,1,0,1,Intel Core i5,Intel
96,Dell,Notebook,8,Linux,2.2,599.9,0,0,0,1,Intel Core i7,AMD
97,Dell,Notebook,4,Linux,2.2,485.0,0,0,0,1,Intel Core i3,AMD
98,Asus,Notebook,6,Windows,2.0,577.0,0,0,0,1,Intel Core i3,Nvidia
99,HP,Gaming,12,Windows,2.62,1249.0,1,0,0,1,Intel Core i7,Nvidia
100,HP,Notebook,8,Windows,1.91,719.0,0,0,0,1,Intel Core i7,AMD
101,HP,Notebook,4,Windows,2.1,349.0,0,0,0,1,AMD,AMD
102,Dell,Notebook,8,Linux,2.2,647.0,0,0,0,1,Intel Core i5,AMD
103,HP,Ultrabook,8,Windows,1.38,1119.0,1,0,0,1,Intel Core i7,Nvidia
104,Other,Ultrabook,8,Windows,1.252,1340.0,0,1,0,0,Intel Core i5,Intel
105,HP,Notebook,6,Windows,1.58,659.0,1,0,0,1,Intel Core i5,Nvidia
106,Lenovo,Notebook,4,Windows,1.85,414.9,0,0,0,1,Intel Core i3,Intel
107,Asus,Ultrabook,8,Windows,1.3,1193.0,1,0,0,1,Intel Core i7,Nvidia
108,MSI,Gaming,16,Windows,2.2,1299.0,0,0,0,1,Intel Core i7,Nvidia
109,Lenovo,Notebook,8,Windows,1.58,1480.0,1,0,0,1,Intel Core i7,Intel
110,Asus,Ultrabook,16,Windows,1.5,1262.0,0,0,0,1,Intel Core i7,Nvidia
111,Dell,Ultrabook,8,Windows,1.23,1379.0,0,1,0,0,Intel Core i7,Intel
112,Lenovo,2 in 1 Convertible,8,Windows,1.37,1399.0,1,1,0,1,Intel Core i5,Intel
113,HP,Notebook,4,Windows,1.63,722.0,1,0,0,0,Intel Core i5,Intel
114,Dell,Ultrabook,8,Windows,1.21,1629.0,1,0,0,1,Intel Core i5,Intel
115,HP,2 in 1 Convertible,8,Windows,1.26,1398.99,1,1,0,1,Intel Core i5,Intel
116,HP,Notebook,8,Windows,1.63,1084.0,0,0,0,1,Intel Core i7,Intel
117,Dell,Notebook,8,Windows,2.16,1130.33,1,0,0,1,Intel Core i7,Nvidia
118,Asus,Notebook,4,Windows,2.0,564.0,0,0,0,1,Intel Core i3,Nvidia
119,Asus,Notebook,8,Windows,1.7,1118.0,0,0,0,1,Intel Core i7,Nvidia
120,Acer,Notebook,6,Windows,2.1,479.0,1,1,0,1,Intel Core i3,Intel
121,MSI,Gaming,16,Windows,1.8,2241.5,0,0,0,1,Intel Core i7,Nvidia
122,Lenovo,Notebook,8,other,2.2,629.0,0,0,0,1,Intel Core i5,Nvidia
123,HP,Notebook,16,Windows,2.5,1271.0,0,0,0,1,Intel Core i7,Nvidia
124,Acer,Notebook,4,Windows,2.1,451.0,0,0,0,0,AMD,AMD
125,HP,Notebook,4,other,1.86,259.0,0,0,0,0,Others,Intel
126,HP,Notebook,8,Windows,1.63,812.0,0,0,0,1,Intel Core i5,Intel
127,Asus,Notebook,4,Windows,1.65,277.99,0,0,0,0,AMD,AMD
128,Dell,Notebook,16,Windows,2.8,1396.0,0,0,0,1,Intel Core i7,AMD
129,HP,Notebook,8,Windows,2.5,928.0,0,0,0,1,Intel Core i5,Intel
130,Dell,Notebook,8,Windows,2.36,638.99,0,0,0,0,Intel Core i5,AMD
131,Dell,Notebook,4,Windows,2.2,449.0,0,0,0,1,Intel Core i3,AMD
132,Acer,Ultrabook,8,Windows,1.6,884.0,1,0,0,1,Intel Core i7,Intel
133,Acer,Notebook,4,Windows,2.2,572.0,0,0,0,1,Intel Core i3,Nvidia
134,HP,Notebook,8,Windows,2.05,598.0,0,0,0,0,Intel Core i7,Intel
135,HP,Notebook,8,Windows,1.63,988.0,0,0,0,1,Intel Core i7,Intel
136,Lenovo,Notebook,4,other,1.9,252.36,0,0,0,0,Others,Intel
137,Asus,Gaming,8,Windows,3.0,938.0,0,0,0,1,Intel Core i5,Nvidia
138,Lenovo,Notebook,4,other,2.2,499.0,0,0,0,1,Intel Core i5,Nvidia
139,HP,Notebook,4,Windows,1.32,699.0,1,0,0,1,Intel Core i5,Intel
140,Acer,Notebook,4,Windows,3.0,655.0,1,0,0,1,Intel Core i3,Nvidia
141,Lenovo,Notebook,8,Windows,1.75,1116.02,1,0,0,1,Intel Core i5,AMD
142,Lenovo,Gaming,8,other,2.4,869.0,1,0,0,1,Intel Core i7,Nvidia
143,Toshiba,Notebook,4,Windows,2.1,602.0,0,0,0,0,Intel Core i5,Intel
144,HP,Notebook,4,Windows,1.86,369.0,0,0,0,0,AMD,AMD
145,Asus,Ultrabook,8,Windows,1.25,1099.0,0,0,0,1,Intel Core i7,Intel
146,HP,Ultrabook,8,Windows,0.97,2014.0,1,1,0,0,Others,Intel
147,Asus,Notebook,4,Windows,2.0,344.0,0,0,0,1,Others,Intel
148,MSI,Gaming,16,Windows,2.9,2029.0,0,0,0,1,Intel Core i7,Nvidia
149,Acer,Notebook,4,Windows,2.1,447.0,0,0,0,0,Intel Core i3,Intel
150,Dell,Gaming,16,Windows,2.56,1249.26,0,0,0,1,Intel Core i7,Nvidia
151,Dell,Gaming,8,Windows,2.62,899.0,0,0,0,1,Intel Core i7,Nvidia
152,Lenovo,Notebook,4,Windows,1.9,498.0,0,0,0,0,Intel Core i5,Intel
153,MSI,Gaming,16,Windows,2.8,1890.0,0,0,0,1,Intel Core i7,Nvidia
154,HP,Ultrabook,4,Windows,1.48,1082.0,0,0,0,1,Intel Core i5,Intel
155,HP,Notebook,6,Windows,1.91,619.0,0,0,0,1,Intel Core i5,AMD
156,Lenovo,2 in 1 Convertible,4,Windows,1.74,629.0,1,1,0,1,Intel Core i3,Intel
157,Asus,2 in 1 Convertible,8,Windows,1.1,1315.0,0,1,0,1,Intel Core i5,Intel
158,Dell,2 in 1 Convertible,8,Windows,1.56,1049.0,0,1,0,1,Intel Core i7,Intel
159,Toshiba,Notebook,4,Windows,2.1,447.0,0,0,0,0,Intel Core i3,Intel
160,Asus,Notebook,4,Windows,2.03,403.0,0,0,0,0,AMD,AMD
161,Acer,Notebook,4,Windows,3.0,805.0,1,0,0,1,Intel Core i5,Nvidia
162,Dell,Notebook,8,Windows,2.13,728.0,0,0,0,1,Intel Core i5,AMD
163,Lenovo,Gaming,16,Windows,2.5,1079.0,1,0,0,1,Intel Core i7,Nvidia
164,Acer,Notebook,4,Windows,2.1,348.0,0,0,0,0,Others,Intel
165,MSI,Gaming,16,Windows,2.4,1799.0,1,0,0,1,Intel Core i7,Nvidia
166,Acer,Notebook,4,Windows,2.1,363.51,0,0,0,0,Others,Intel
167,Dell,Gaming,8,Windows,2.56,1060.49,0,0,0,1,Intel Core i7,Nvidia
168,Acer,Notebook,8,Windows,3.0,854.0,1,0,0,1,Intel Core i5,Nvidia
169,HP,Notebook,4,Windows,1.49,754.0,1,0,0,1,Intel Core i5,Intel
170,Other,Ultrabook,8,Windows,1.05,1349.0,1,0,0,1,Intel Core i5,Intel
171,HP,Notebook,6,Windows,2.71,699.0,1,0,0,1,Intel Core i5,AMD
172,Lenovo,Notebook,4,other,2.2,309.0,0,0,0,0,AMD,AMD
173,Toshiba,Notebook,4,Windows,2.0,489.0,0,0,0,0,Intel Core i3,Intel
174,HP,Notebook,8,Windows,2.5,923.0,0,0,0,1,Intel Core i5,Nvidia
175,Dell,Notebook,8,Windows,2.3,459.0,0,0,0,0,Intel Core i3,Intel
176,Acer,Notebook,4,Windows,2.1,449.0,0,0,0,0,Intel Core i3,Intel
177,MSI,Gaming,32,Windows,4.4,2799.0,0,0,0,1,Intel Core i7,Nvidia
178,Lenovo,Notebook,8,Windows,1.9,813.0,0,0,0,1,Intel Core i5,AMD
179,HP,2 in 1 Convertible,8,Windows,1.29,1499.0,1,1,0,0,Intel Core i5,Intel
180,Dell,Notebook,16,Linux,2.02,1049.0,0,0,0,1,Intel Core i7,AMD
181,Dell,Ultrabook,8,Windows,1.23,1399.0,0,0,0,1,Intel Core i5,Intel
182,Lenovo,2 in 1 Convertible,16,Windows,1.4,1849.0,1,1,0,0,Intel Core i7,Intel
183,Toshiba,Notebook,8,Windows,2.0,793.0,0,0,0,0,Intel Core i5,Intel
184,Other,Notebook,8,other,1.95,1199.0,1,0,0,1,Intel Core i5,Nvidia
185,Dell,Notebook,16,Windows,2.77,1549.0,0,1,0,1,Intel Core i7,Nvidia
186,Dell,Notebook,16,Windows,2.06,2397.0,0,1,0,0,Intel Core i7,Nvidia
187,Lenovo,Gaming,8,other,2.4,779.0,1,0,0,1,Intel Core i5,Nvidia
188,Acer,Ultrabook,8,Windows,1.12,989.0,1,0,0,1,Intel Core i5,Intel
189,Dell,Notebook,8,Windows,2.8,1085.0,0,0,0,1,Intel Core i7,AMD
190,Lenovo,2 in 1 Convertible,16,Windows,1.42,2824.0,0,1,0,0,Intel Core i7,Intel
191,Other,Notebook,4,Windows,1.3,260.0,1,0,0,1,Others,Intel
192,Other,Ultrabook,8,other,1.3,999.9,1,0,0,1,Intel Core i5,Nvidia
193,Lenovo,Notebook,8,other,2.8,698.0,0,0,0,0,Intel Core i5,Nvidia
194,Dell,2 in 1 Convertible,8,Windows,1.62,839.0,1,1,0,1,Intel Core i7,Intel
195,HP,Notebook,8,Windows,2.5,914.0,1,0,0,1,Intel Core i5,Nvidia
196,Other,Gaming,32,Windows,3.49,6099.0,0,1,0,0,Intel Core i7,Nvidia
197,HP,Notebook,8,Windows,1.49,959.0,0,0,0,1,Intel Core i5,Intel
198,HP,Gaming,16,Windows,3.35,1379.0,1,0,0,1,Intel Core i7,Nvidia
199,HP,Notebook,8,Windows,2.5,1045.0,0,0,0,1,Intel Core i7,Nvidia
200,Dell,Gaming,16,Windows,2.65,1845.0,1,0,0,0,Intel Core i7,Nvidia
201,Lenovo,Notebook,4,Windows,2.1,493.0,0,0,0,0,Intel Core i5,Intel
202,Acer,Notebook,8,Windows,2.23,742.0,0,0,0,1,Intel Core i7,Nvidia
203,Lenovo,Gaming,16,Windows,3.2,1749.0,1,0,0,1,Intel Core i7,Nvidia
204,Dell,Workstation,16,Windows,2.8,3055.0,0,0,0,0,Others,Nvidia
205,Lenovo,Gaming,16,other,2.4,1398.0,0,0,0,1,Intel Core i7,Nvidia
206,Dell,Notebook,6,Windows,2.3,439.0,0,1,0,0,Intel Core i3,Intel
207,Dell,Ultrabook,8,Windows,1.21,1949.0,1,1,0,0,Intel Core i7,Intel
208,Dell,Ultrabook,8,Windows,1.2,1449.0,0,0,0,1,Intel Core i7,Intel
209,Lenovo,Notebook,8,Windows,2.2,597.0,0,0,0,0,Intel Core i5,Intel
210,Acer,Notebook,8,Linux,2.4,779.0,0,0,0,1,Intel Core i7,Nvidia
211,Asus,Gaming,16,Windows,2.9,1407.0,0,0,0,1,Intel Core i7,Nvidia
212,HP,Notebook,4,other,2.1,349.0,0,0,0,1,Intel Core i3,Intel
213,Lenovo,Notebook,8,other,2.2,549.0,0,0,0,1,Intel Core i5,Intel
214,Other,Ultrabook,8,Windows,1.05,1499.0,1,0,0,1,Intel Core i7,Intel
215,Dell,Ultrabook,8,Windows,1.4,931.88,1,0,0,1,Intel Core i7,AMD
216,Lenovo,Notebook,8,other,2.8,589.0,0,0,0,0,Intel Core i5,Nvidia
217,HP,Notebook,8,Windows,1.63,1031.0,0,0,0,1,Intel Core i7,Nvidia
218,Dell,Ultrabook,8,Windows,1.6,1149.0,0,0,0,1,Intel Core i5,Intel
219,Dell,2 in 1 Convertible,16,Windows,1.62,1279.0,0,1,0,1,Intel Core i7,Intel
220,Dell,Notebook,8,Linux,2.2,677.35,0,0,0,1,Intel Core i5,AMD
221,Lenovo,2 in 1 Convertible,8,Windows,1.74,899.0,1,0,0,1,Intel Core i5,Intel
222,Toshiba,Ultrabook,8,Windows,1.2,1363.0,0,0,0,1,Intel Core i7,Intel
223,HP,Notebook,8,Windows,2.1,794.0,0,0,0,1,Intel Core i5,Intel
224,Dell,Gaming,16,Windows,4.42,2456.34,1,0,0,1,Intel Core i7,Nvidia
225,Acer,Notebook,8,Windows,2.2,832.0,0,0,0,1,Intel Core i7,Nvidia
226,Dell,Notebook,16,Windows,2.3,859.01,0,1,0,1,Intel Core i7,AMD
227,Asus,Notebook,8,Windows,2.0,769.0,0,0,0,1,Intel Core i5,Nvidia
228,Asus,Notebook,8,Windows,2.69,891.0,0,0,0,1,Intel Core i5,Nvidia
229,HP,Notebook,8,Windows,1.9,1269.0,0,0,0,1,Intel Core i7,AMD
230,Asus,Notebook,4,Windows,2.37,398.99,0,0,0,0,Intel Core i3,Intel
231,HP,Notebook,4,Windows,2.1,330.0,0,0,0,0,AMD,AMD
232,Lenovo,Gaming,16,Windows,3.2,1499.0,1,0,0,1,Intel Core i7,Nvidia
233,Dell,Notebook,8,Windows,1.6,859.0,0,0,0,1,Intel Core i5,Intel
234,Acer,2 in 1 Convertible,8,Windows,1.6,689.0,1,1,0,1,Intel Core i5,Intel
235,Dell,Notebook,16,Linux,2.36,899.0,0,0,0,1,Intel Core i7,AMD
236,Acer,Notebook,4,Linux,2.1,390.0,0,0,0,0,Intel Core i3,Intel
237,Asus,Notebook,4,Windows,2.2,575.0,0,0,0,1,AMD,AMD
238,Asus,Gaming,32,Windows,4.7,3890.0,0,0,0,1,Intel Core i7,Nvidia
239,Acer,Gaming,8,Windows,2.5,846.0,1,0,0,1,Intel Core i5,Nvidia
240,Lenovo,Notebook,8,Windows,2.2,589.0,0,0,0,0,Intel Core i3,Intel
241,Asus,Notebook,8,Windows,2.1,1145.0,0,0,0,1,Intel Core i7,Nvidia
242,Asus,Notebook,8,other,2.69,889.0,0,0,0,1,Intel Core i7,Nvidia
243,Dell,Gaming,8,Windows,2.56,879.0,0,0,0,1,Intel Core i5,Nvidia
244,Lenovo,2 in 1 Convertible,8,Windows,1.38,1079.0,1,1,0,1,Intel Core i7,Intel
245,Dell,Notebook,8,Windows,2.2,985.0,0,0,0,1,Intel Core i7,AMD
246,HP,Notebook,8,Windows,2.04,559.0,0,1,0,0,Intel Core i5,Intel
247,Asus,Gaming,16,Windows,3.6,2999.0,0,0,0,1,Intel Core i7,Nvidia
248,HP,Notebook,4,Windows,1.49,675.0,1,0,0,1,Intel Core i5,Intel
249,Apple,Ultrabook,8,MAC,1.37,2040.0,1,0,1,0,Intel Core i5,Intel
250,Dell,2 in 1 Convertible,8,Windows,2.08,819.0,1,1,0,1,Intel Core i7,Intel
251,Asus,Gaming,16,Windows,4.3,1799.0,0,0,0,1,Intel Core i7,Nvidia
252,Asus,Notebook,4,Windows,1.68,469.0,0,0,0,0,AMD,AMD
253,Lenovo,2 in 1 Convertible,8,Windows,1.37,1849.0,1,1,0,1,Intel Core i7,Intel
254,Acer,Notebook,4,Windows,3.0,702.0,1,0,0,1,Intel Core i3,Nvidia
255,Dell,Ultrabook,8,Windows,1.41,949.0,0,0,0,1,Intel Core i5,Intel
256,HP,Notebook,8,Windows,1.91,445.9,0,0,0,0,AMD,AMD
257,HP,Notebook,16,Windows,2.9,1059.0,1,0,0,1,Intel Core i7,Nvidia
258,MSI,Gaming,16,Windows,4.14,2499.0,0,0,0,1,Intel Core i7,Nvidia
259,Lenovo,2 in 1 Convertible,8,Windows,2.0,1699.0,1,1,0,1,Intel Core i7,Nvidia
260,Dell,Notebook,8,Windows,2.8,1142.0,0,0,0,1,Intel Core i7,AMD
261,Lenovo,Notebook,4,other,2.2,444.0,0,0,0,1,Intel Core i3,Intel
262,HP,Notebook,4,Windows,2.1,722.0,1,0,0,1,Intel Core i5,Intel
263,Dell,Notebook,4,Windows,2.18,657.0,0,0,0,1,Intel Core i5,Intel
